"epoch","9 - _step","9 - _step__MIN","9 - _step__MAX","9 - val_loss","9 - val_loss__MIN","9 - val_loss__MAX","17 - _step","17 - _step__MIN","17 - _step__MAX","17 - val_loss","17 - val_loss__MIN","17 - val_loss__MAX","33 - _step","33 - _step__MIN","33 - _step__MAX","33 - val_loss","33 - val_loss__MIN","33 - val_loss__MAX","65 - _step","65 - _step__MIN","65 - _step__MAX","65 - val_loss","65 - val_loss__MIN","65 - val_loss__MAX","129 - _step","129 - _step__MIN","129 - _step__MAX","129 - val_loss","129 - val_loss__MIN","129 - val_loss__MAX"
"0","9","9","9","0.12682221829891205","0.12682221829891205","0.12682221829891205","9","9","9","0.13044217228889465","0.13044217228889465","0.13044217228889465","9","9","9","0.12650807201862335","0.12650807201862335","0.12650807201862335","9","9","9","0.13044720888137817","0.13044720888137817","0.13044720888137817","9","9","9","0.12180237472057343","0.12180237472057343","0.12180237472057343"
"1","18","18","18","0.12093670666217804","0.12093670666217804","0.12093670666217804","18","18","18","0.13870106637477875","0.13870106637477875","0.13870106637477875","18","18","18","0.11882153153419495","0.11882153153419495","0.11882153153419495","18","18","18","0.13036084175109863","0.13036084175109863","0.13036084175109863","18","18","18","0.11764694005250931","0.11764694005250931","0.11764694005250931"
"2","26","26","26","0.11729787290096283","0.11729787290096283","0.11729787290096283","26","26","26","0.12334553897380829","0.12334553897380829","0.12334553897380829","26","26","26","0.11694338172674179","0.11694338172674179","0.11694338172674179","26","26","26","0.12450478225946426","0.12450478225946426","0.12450478225946426","26","26","26","0.11964071542024612","0.11964071542024612","0.11964071542024612"
"3","35","35","35","0.1160333976149559","0.1160333976149559","0.1160333976149559","35","35","35","0.11824443191289902","0.11824443191289902","0.11824443191289902","35","35","35","0.11585772782564163","0.11585772782564163","0.11585772782564163","35","35","35","0.11994265764951706","0.11994265764951706","0.11994265764951706","35","35","35","0.11592569947242737","0.11592569947242737","0.11592569947242737"
"4","43","43","43","0.11579644680023193","0.11579644680023193","0.11579644680023193","43","43","43","0.1171165257692337","0.1171165257692337","0.1171165257692337","43","43","43","0.11593829095363617","0.11593829095363617","0.11593829095363617","43","43","43","0.11762839555740356","0.11762839555740356","0.11762839555740356","43","43","43","0.1189756989479065","0.1189756989479065","0.1189756989479065"
"5","52","52","52","0.11347189545631409","0.11347189545631409","0.11347189545631409","52","52","52","0.11571089923381805","0.11571089923381805","0.11571089923381805","52","52","52","0.11450869590044022","0.11450869590044022","0.11450869590044022","52","52","52","0.11627480387687683","0.11627480387687683","0.11627480387687683","52","52","52","0.11439608782529831","0.11439608782529831","0.11439608782529831"
"6","60","60","60","0.11024081707000732","0.11024081707000732","0.11024081707000732","60","60","60","0.11625508964061737","0.11625508964061737","0.11625508964061737","60","60","60","0.11342562735080719","0.11342562735080719","0.11342562735080719","60","60","60","0.11568812280893326","0.11568812280893326","0.11568812280893326","60","60","60","0.11362229287624359","0.11362229287624359","0.11362229287624359"
"7","69","69","69","0.10527167469263077","0.10527167469263077","0.10527167469263077","69","69","69","0.11573381721973419","0.11573381721973419","0.11573381721973419","69","69","69","0.12017031759023666","0.12017031759023666","0.12017031759023666","69","69","69","0.1225215420126915","0.1225215420126915","0.1225215420126915","69","69","69","0.11256672441959381","0.11256672441959381","0.11256672441959381"
"8","77","77","77","0.09603562206029892","0.09603562206029892","0.09603562206029892","77","77","77","0.11500895023345947","0.11500895023345947","0.11500895023345947","77","77","77","0.11508995294570923","0.11508995294570923","0.11508995294570923","77","77","77","0.11380717903375626","0.11380717903375626","0.11380717903375626","77","77","77","0.10810036957263947","0.10810036957263947","0.10810036957263947"
"9","86","86","86","0.09279705584049225","0.09279705584049225","0.09279705584049225","86","86","86","0.11312150955200195","0.11312150955200195","0.11312150955200195","86","86","86","0.1138186827301979","0.1138186827301979","0.1138186827301979","86","86","86","0.11199093610048294","0.11199093610048294","0.11199093610048294","86","86","86","0.10791605710983276","0.10791605710983276","0.10791605710983276"
"10","95","95","95","0.0902009978890419","0.0902009978890419","0.0902009978890419","95","95","95","0.11127575486898422","0.11127575486898422","0.11127575486898422","95","95","95","0.1068633645772934","0.1068633645772934","0.1068633645772934","95","95","95","0.11285389214754105","0.11285389214754105","0.11285389214754105","95","95","95","0.10584290325641632","0.10584290325641632","0.10584290325641632"
"11","104","104","104","0.08696167171001434","0.08696167171001434","0.08696167171001434","104","104","104","0.1021667867898941","0.1021667867898941","0.1021667867898941","104","104","104","0.10224661976099014","0.10224661976099014","0.10224661976099014","104","104","104","0.1028604805469513","0.1028604805469513","0.1028604805469513","104","104","104","0.10552283376455307","0.10552283376455307","0.10552283376455307"
"12","112","112","112","0.08337188512086868","0.08337188512086868","0.08337188512086868","112","112","112","0.09635405242443085","0.09635405242443085","0.09635405242443085","112","112","112","0.10483559966087341","0.10483559966087341","0.10483559966087341","112","112","112","0.09599364548921585","0.09599364548921585","0.09599364548921585","112","112","112","0.10494734346866608","0.10494734346866608","0.10494734346866608"
"13","121","121","121","0.08013530820608139","0.08013530820608139","0.08013530820608139","121","121","121","0.09156806766986847","0.09156806766986847","0.09156806766986847","121","121","121","0.09971141815185547","0.09971141815185547","0.09971141815185547","121","121","121","0.08860765397548676","0.08860765397548676","0.08860765397548676","121","121","121","0.10095600038766861","0.10095600038766861","0.10095600038766861"
"14","129","129","129","0.0772438645362854","0.0772438645362854","0.0772438645362854","129","129","129","0.09248333424329758","0.09248333424329758","0.09248333424329758","129","129","129","0.09774548560380936","0.09774548560380936","0.09774548560380936","129","129","129","0.0816398411989212","0.0816398411989212","0.0816398411989212","129","129","129","0.09651163965463638","0.09651163965463638","0.09651163965463638"
"15","138","138","138","0.07564202696084976","0.07564202696084976","0.07564202696084976","138","138","138","0.08402416855096817","0.08402416855096817","0.08402416855096817","138","138","138","0.09652751684188843","0.09652751684188843","0.09652751684188843","138","138","138","0.07783357799053192","0.07783357799053192","0.07783357799053192","138","138","138","0.09486169368028641","0.09486169368028641","0.09486169368028641"
"16","146","146","146","0.07345710694789886","0.07345710694789886","0.07345710694789886","146","146","146","0.08750218898057938","0.08750218898057938","0.08750218898057938","146","146","146","0.09535195678472519","0.09535195678472519","0.09535195678472519","146","146","146","0.07349766790866852","0.07349766790866852","0.07349766790866852","146","146","146","0.09463343024253845","0.09463343024253845","0.09463343024253845"
