"epoch","l64 - _step","l64 - _step__MIN","l64 - _step__MAX","l64 - val_len","l64 - val_len__MIN","l64 - val_len__MAX","l128 - _step","l128 - _step__MIN","l128 - _step__MAX","l128 - val_len","l128 - val_len__MIN","l128 - val_len__MAX","l8 - _step","l8 - _step__MIN","l8 - _step__MAX","l8 - val_len","l8 - val_len__MIN","l8 - val_len__MAX","l32 - _step","l32 - _step__MIN","l32 - _step__MAX","l32 - val_len","l32 - val_len__MIN","l32 - val_len__MAX","l16 - _step","l16 - _step__MIN","l16 - _step__MAX","l16 - val_len","l16 - val_len__MIN","l16 - val_len__MAX"
"22","198","198","198","13.776416778564453","13.776416778564453","13.776416778564453","198","198","198","74.21849822998047","74.21849822998047","74.21849822998047","198","198","198","7.299499988555908","7.299499988555908","7.299499988555908","198","198","198","32","32","32","198","198","198","15.999250411987305","15.999250411987305","15.999250411987305"
"23","207","207","207","13.09000015258789","13.09000015258789","13.09000015258789","207","207","207","90.8375015258789","90.8375015258789","90.8375015258789","207","207","207","7.408166885375977","7.408166885375977","7.408166885375977","207","207","207","32","32","32","207","207","207","15.999250411987305","15.999250411987305","15.999250411987305"
"24","215","215","215","16.7103328704834","16.7103328704834","16.7103328704834","215","215","215","89.60908508300781","89.60908508300781","89.60908508300781","215","215","215","7.356249809265137","7.356249809265137","7.356249809265137","215","215","215","32","32","32","215","215","215","15.984833717346191","15.984833717346191","15.984833717346191"
"25","224","224","224","16.389833450317383","16.389833450317383","16.389833450317383","224","224","224","87.5250015258789","87.5250015258789","87.5250015258789","224","224","224","7.171249866485596","7.171249866485596","7.171249866485596","224","224","224","32","32","32","224","224","224","15.468999862670898","15.468999862670898","15.468999862670898"
"26","232","232","232","15.901333808898926","15.901333808898926","15.901333808898926","232","232","232","90.90191650390625","90.90191650390625","90.90191650390625","232","232","232","7.137249946594238","7.137249946594238","7.137249946594238","232","232","232","32","32","32","232","232","232","13.873916625976562","13.873916625976562","13.873916625976562"
"27","241","241","241","14.81624984741211","14.81624984741211","14.81624984741211","241","241","241","89.92908477783203","89.92908477783203","89.92908477783203","241","241","241","7.191999912261963","7.191999912261963","7.191999912261963","241","241","241","32","32","32","241","241","241","11.35183334350586","11.35183334350586","11.35183334350586"
"28","249","249","249","14.925333023071289","14.925333023071289","14.925333023071289","249","249","249","94.99942016601562","94.99942016601562","94.99942016601562","249","249","249","6.969416618347168","6.969416618347168","6.969416618347168","249","249","249","32","32","32","249","249","249","11.208083152770996","11.208083152770996","11.208083152770996"
"29","258","258","258","16.007333755493164","16.007333755493164","16.007333755493164","258","258","258","87.52233123779297","87.52233123779297","87.52233123779297","258","258","258","6.992249965667725","6.992249965667725","6.992249965667725","258","258","258","32","32","32","258","258","258","12.282416343688965","12.282416343688965","12.282416343688965"
"30","267","267","267","14.729166984558105","14.729166984558105","14.729166984558105","267","267","267","87.38866424560547","87.38866424560547","87.38866424560547","267","267","267","7.175583362579346","7.175583362579346","7.175583362579346","267","267","267","32","32","32","267","267","267","12.516166687011719","12.516166687011719","12.516166687011719"
"31","276","276","276","17.297000885009766","17.297000885009766","17.297000885009766","276","276","276","78.25450134277344","78.25450134277344","78.25450134277344","276","276","276","7.025083541870117","7.025083541870117","7.025083541870117","276","276","276","31.99941635131836","31.99941635131836","31.99941635131836","276","276","276","12.706083297729492","12.706083297729492","12.706083297729492"
"32","284","284","284","16.136333465576172","16.136333465576172","16.136333465576172","284","284","284","82.6187515258789","82.6187515258789","82.6187515258789","284","284","284","6.914416790008545","6.914416790008545","6.914416790008545","284","284","284","32","32","32","284","284","284","12.227083206176758","12.227083206176758","12.227083206176758"
"33","293","293","293","18.493000030517578","18.493000030517578","18.493000030517578","293","293","293","84.46441650390625","84.46441650390625","84.46441650390625","293","293","293","7.063666820526123","7.063666820526123","7.063666820526123","293","293","293","32","32","32","293","293","293","12.67216682434082","12.67216682434082","12.67216682434082"
"34","301","301","301","17.97683334350586","17.97683334350586","17.97683334350586","301","301","301","82.41449737548828","82.41449737548828","82.41449737548828","301","301","301","6.928750038146973","6.928750038146973","6.928750038146973","301","301","301","31.99708366394043","31.99708366394043","31.99708366394043","301","301","301","12.72558307647705","12.72558307647705","12.72558307647705"
"35","310","310","310","18.526500701904297","18.526500701904297","18.526500701904297","310","310","310","76.83208465576172","76.83208465576172","76.83208465576172","310","310","310","6.832499980926514","6.832499980926514","6.832499980926514","310","310","310","31.994333267211914","31.994333267211914","31.994333267211914","310","310","310","13.56191635131836","13.56191635131836","13.56191635131836"
"36","318","318","318","18.5310001373291","18.5310001373291","18.5310001373291","318","318","318","88.63883209228516","88.63883209228516","88.63883209228516","318","318","318","6.803750038146973","6.803750038146973","6.803750038146973","318","318","318","31.988500595092773","31.988500595092773","31.988500595092773","318","318","318","13.298333168029785","13.298333168029785","13.298333168029785"
"37","327","327","327","17.640167236328125","17.640167236328125","17.640167236328125","327","327","327","86.82225036621094","86.82225036621094","86.82225036621094","327","327","327","7.0313334465026855","7.0313334465026855","7.0313334465026855","327","327","327","31.991167068481445","31.991167068481445","31.991167068481445","327","327","327","13.4037504196167","13.4037504196167","13.4037504196167"
"38","335","335","335","19.731332778930664","19.731332778930664","19.731332778930664","335","335","335","71.02974700927734","71.02974700927734","71.02974700927734","335","335","335","6.78725004196167","6.78725004196167","6.78725004196167","335","335","335","31.932666778564453","31.932666778564453","31.932666778564453","335","335","335","13.486083030700684","13.486083030700684","13.486083030700684"
"39","344","344","344","20.122583389282227","20.122583389282227","20.122583389282227","344","344","344","77.13224792480469","77.13224792480469","77.13224792480469","344","344","344","6.855583190917969","6.855583190917969","6.855583190917969","344","344","344","31.957332611083984","31.957332611083984","31.957332611083984","344","344","344","13.241666793823242","13.241666793823242","13.241666793823242"
"40","353","353","353","23.958499908447266","23.958499908447266","23.958499908447266","353","353","353","82.17908477783203","82.17908477783203","82.17908477783203","353","353","353","6.718583106994629","6.718583106994629","6.718583106994629","353","353","353","31.666250228881836","31.666250228881836","31.666250228881836","353","353","353","14.00100040435791","14.00100040435791","14.00100040435791"
"41","362","362","362","21.536916732788086","21.536916732788086","21.536916732788086","362","362","362","83.88716888427734","83.88716888427734","83.88716888427734","362","362","362","6.668416500091553","6.668416500091553","6.668416500091553","362","362","362","31.768917083740234","31.768917083740234","31.768917083740234","362","362","362","12.789083480834961","12.789083480834961","12.789083480834961"
"42","370","370","370","23.952499389648438","23.952499389648438","23.952499389648438","370","370","370","81.16291809082031","81.16291809082031","81.16291809082031","370","370","370","6.9083333015441895","6.9083333015441895","6.9083333015441895","370","370","370","30.417333602905273","30.417333602905273","30.417333602905273","370","370","370","13.889833450317383","13.889833450317383","13.889833450317383"
"43","379","379","379","22.42824935913086","22.42824935913086","22.42824935913086","379","379","379","71.57391357421875","71.57391357421875","71.57391357421875","379","379","379","6.956916809082031","6.956916809082031","6.956916809082031","379","379","379","30.652584075927734","30.652584075927734","30.652584075927734","379","379","379","13.680166244506836","13.680166244506836","13.680166244506836"
"44","387","387","387","21.962833404541016","21.962833404541016","21.962833404541016","387","387","387","57.37049865722656","57.37049865722656","57.37049865722656","387","387","387","6.4397501945495605","6.4397501945495605","6.4397501945495605","387","387","387","30.816415786743164","30.816415786743164","30.816415786743164","387","387","387","13.531332969665527","13.531332969665527","13.531332969665527"
"45","396","396","396","23.847166061401367","23.847166061401367","23.847166061401367","396","396","396","72.79100036621094","72.79100036621094","72.79100036621094","396","396","396","6.773083209991455","6.773083209991455","6.773083209991455","396","396","396","30.524084091186523","30.524084091186523","30.524084091186523","396","396","396","14.051416397094727","14.051416397094727","14.051416397094727"
"46","404","404","404","25.52549934387207","25.52549934387207","25.52549934387207","404","404","404","62.25400161743164","62.25400161743164","62.25400161743164","404","404","404","6.794416904449463","6.794416904449463","6.794416904449463","404","404","404","29.787416458129883","29.787416458129883","29.787416458129883","404","404","404","13.826167106628418","13.826167106628418","13.826167106628418"
"47","413","413","413","37.43016815185547","37.43016815185547","37.43016815185547","413","413","413","68.13874816894531","68.13874816894531","68.13874816894531","413","413","413","6.863500118255615","6.863500118255615","6.863500118255615","413","413","413","29.546916961669922","29.546916961669922","29.546916961669922","413","413","413","14.131916999816895","14.131916999816895","14.131916999816895"
"48","421","421","421","28.342750549316406","28.342750549316406","28.342750549316406","421","421","421","75.65174865722656","75.65174865722656","75.65174865722656","421","421","421","6.854916572570801","6.854916572570801","6.854916572570801","421","421","421","30.65708351135254","30.65708351135254","30.65708351135254","421","421","421","14.318833351135254","14.318833351135254","14.318833351135254"
"49","430","430","430","26.11716651916504","26.11716651916504","26.11716651916504","430","430","430","68.1806640625","68.1806640625","68.1806640625","430","430","430","7.007500171661377","7.007500171661377","7.007500171661377","430","430","430","29.57058334350586","29.57058334350586","29.57058334350586","430","430","430","14.39050006866455","14.39050006866455","14.39050006866455"
"50","439","439","439","24.442916870117188","24.442916870117188","24.442916870117188","439","439","439","68.98566436767578","68.98566436767578","68.98566436767578","439","439","439","6.670666694641113","6.670666694641113","6.670666694641113","439","439","439","29.480833053588867","29.480833053588867","29.480833053588867","439","439","439","14.076000213623047","14.076000213623047","14.076000213623047"
"51","448","448","448","25.638166427612305","25.638166427612305","25.638166427612305","448","448","448","82.91033172607422","82.91033172607422","82.91033172607422","448","448","448","6.826000213623047","6.826000213623047","6.826000213623047","448","448","448","29.535999298095703","29.535999298095703","29.535999298095703","448","448","448","13.802666664123535","13.802666664123535","13.802666664123535"
"52","456","456","456","25.272750854492188","25.272750854492188","25.272750854492188","456","456","456","72.6971664428711","72.6971664428711","72.6971664428711","456","456","456","6.885166645050049","6.885166645050049","6.885166645050049","456","456","456","28.275333404541016","28.275333404541016","28.275333404541016","456","456","456","13.620499610900879","13.620499610900879","13.620499610900879"
"53","465","465","465","25.700916290283203","25.700916290283203","25.700916290283203","465","465","465","73.14241790771484","73.14241790771484","73.14241790771484","465","465","465","6.910666465759277","6.910666465759277","6.910666465759277","465","465","465","26.96525001525879","26.96525001525879","26.96525001525879","465","465","465","14.005499839782715","14.005499839782715","14.005499839782715"
"54","473","473","473","28.780000686645508","28.780000686645508","28.780000686645508","473","473","473","68.95633697509766","68.95633697509766","68.95633697509766","473","473","473","6.736916542053223","6.736916542053223","6.736916542053223","473","473","473","26.901166915893555","26.901166915893555","26.901166915893555","473","473","473","14.133832931518555","14.133832931518555","14.133832931518555"
"55","482","482","482","29.320083618164062","29.320083618164062","29.320083618164062","482","482","482","76.14083099365234","76.14083099365234","76.14083099365234","482","482","482","6.9460835456848145","6.9460835456848145","6.9460835456848145","482","482","482","27.720916748046875","27.720916748046875","27.720916748046875","482","482","482","13.814749717712402","13.814749717712402","13.814749717712402"
"56","490","490","490","28.62150001525879","28.62150001525879","28.62150001525879","490","490","490","67.51725006103516","67.51725006103516","67.51725006103516","490","490","490","6.620083332061768","6.620083332061768","6.620083332061768","490","490","490","30.792083740234375","30.792083740234375","30.792083740234375","490","490","490","14.219083786010742","14.219083786010742","14.219083786010742"
"57","499","499","499","28.10616683959961","28.10616683959961","28.10616683959961","499","499","499","80.87191772460938","80.87191772460938","80.87191772460938","499","499","499","6.479333400726318","6.479333400726318","6.479333400726318","499","499","499","27.891666412353516","27.891666412353516","27.891666412353516","499","499","499","14.062166213989258","14.062166213989258","14.062166213989258"
"58","507","507","507","29.974082946777344","29.974082946777344","29.974082946777344","507","507","507","64.37767028808594","64.37767028808594","64.37767028808594","507","507","507","6.5338335037231445","6.5338335037231445","6.5338335037231445","507","507","507","26.604583740234375","26.604583740234375","26.604583740234375","507","507","507","14.161749839782715","14.161749839782715","14.161749839782715"
"59","516","516","516","30.405500411987305","30.405500411987305","30.405500411987305","516","516","516","71.63916778564453","71.63916778564453","71.63916778564453","516","516","516","6.805416584014893","6.805416584014893","6.805416584014893","516","516","516","26.439666748046875","26.439666748046875","26.439666748046875","516","516","516","14.241000175476074","14.241000175476074","14.241000175476074"
"60","525","525","525","29.017250061035156","29.017250061035156","29.017250061035156","525","525","525","70.53299713134766","70.53299713134766","70.53299713134766","525","525","525","6.804666519165039","6.804666519165039","6.804666519165039","525","525","525","25.96666717529297","25.96666717529297","25.96666717529297","525","525","525","14.574999809265137","14.574999809265137","14.574999809265137"
"61","534","534","534","29.92441749572754","29.92441749572754","29.92441749572754","534","534","534","81.76599884033203","81.76599884033203","81.76599884033203","534","534","534","6.78849983215332","6.78849983215332","6.78849983215332","534","534","534","25.41608238220215","25.41608238220215","25.41608238220215","534","534","534","14.745583534240723","14.745583534240723","14.745583534240723"
"62","542","542","542","30.894500732421875","30.894500732421875","30.894500732421875","542","542","542","65.68758392333984","65.68758392333984","65.68758392333984","542","542","542","6.907583236694336","6.907583236694336","6.907583236694336","542","542","542","24.27833366394043","24.27833366394043","24.27833366394043","542","542","542","14.440250396728516","14.440250396728516","14.440250396728516"
"63","551","551","551","32.8211669921875","32.8211669921875","32.8211669921875","551","551","551","69.3907470703125","69.3907470703125","69.3907470703125","551","551","551","6.726749897003174","6.726749897003174","6.726749897003174","551","551","551","25.938167572021484","25.938167572021484","25.938167572021484","551","551","551","14.599833488464355","14.599833488464355","14.599833488464355"
"64","559","559","559","30.131500244140625","30.131500244140625","30.131500244140625","559","559","559","73.35691833496094","73.35691833496094","73.35691833496094","559","559","559","6.804749965667725","6.804749965667725","6.804749965667725","559","559","559","26.79450035095215","26.79450035095215","26.79450035095215","559","559","559","14.453499794006348","14.453499794006348","14.453499794006348"
"65","568","568","568","32.444332122802734","32.444332122802734","32.444332122802734","568","568","568","66.96817016601562","66.96817016601562","66.96817016601562","568","568","568","6.731833457946777","6.731833457946777","6.731833457946777","568","568","568","23.2415828704834","23.2415828704834","23.2415828704834","568","568","568","14.758916854858398","14.758916854858398","14.758916854858398"
"66","576","576","576","32.648834228515625","32.648834228515625","32.648834228515625","576","576","576","66.20858001708984","66.20858001708984","66.20858001708984","576","576","576","6.756916522979736","6.756916522979736","6.756916522979736","576","576","576","23.825082778930664","23.825082778930664","23.825082778930664","576","576","576","14.609167098999023","14.609167098999023","14.609167098999023"
"67","585","585","585","31.297332763671875","31.297332763671875","31.297332763671875","585","585","585","64.86708068847656","64.86708068847656","64.86708068847656","585","585","585","6.635166645050049","6.635166645050049","6.635166645050049","585","585","585","23.97450065612793","23.97450065612793","23.97450065612793","585","585","585","14.742250442504883","14.742250442504883","14.742250442504883"
"68","593","593","593","30.982084274291992","30.982084274291992","30.982084274291992","593","593","593","61.78200149536133","61.78200149536133","61.78200149536133","593","593","593","6.721833229064941","6.721833229064941","6.721833229064941","593","593","593","24.236083984375","24.236083984375","24.236083984375","593","593","593","14.86733341217041","14.86733341217041","14.86733341217041"
"69","602","602","602","32.00508499145508","32.00508499145508","32.00508499145508","602","602","602","65.85033416748047","65.85033416748047","65.85033416748047","602","602","602","6.613666534423828","6.613666534423828","6.613666534423828","602","602","602","22.699499130249023","22.699499130249023","22.699499130249023","602","602","602","15.123749732971191","15.123749732971191","15.123749732971191"
"70","611","611","611","32.072750091552734","32.072750091552734","32.072750091552734","611","611","611","69.81358337402344","69.81358337402344","69.81358337402344","611","611","611","6.669583320617676","6.669583320617676","6.669583320617676","611","611","611","22.552499771118164","22.552499771118164","22.552499771118164","611","611","611","14.798916816711426","14.798916816711426","14.798916816711426"
"71","620","620","620","32.42900085449219","32.42900085449219","32.42900085449219","620","620","620","62.73958206176758","62.73958206176758","62.73958206176758","620","620","620","6.613166809082031","6.613166809082031","6.613166809082031","620","620","620","20.676250457763672","20.676250457763672","20.676250457763672","620","620","620","14.623749732971191","14.623749732971191","14.623749732971191"
"72","628","628","628","32.00791549682617","32.00791549682617","32.00791549682617","628","628","628","56.127166748046875","56.127166748046875","56.127166748046875","628","628","628","6.745999813079834","6.745999813079834","6.745999813079834","628","628","628","21.03041648864746","21.03041648864746","21.03041648864746","628","628","628","14.778083801269531","14.778083801269531","14.778083801269531"
"73","637","637","637","33.26091766357422","33.26091766357422","33.26091766357422","637","637","637","63.15449905395508","63.15449905395508","63.15449905395508","637","637","637","6.708083152770996","6.708083152770996","6.708083152770996","637","637","637","21.70516586303711","21.70516586303711","21.70516586303711","637","637","637","14.710833549499512","14.710833549499512","14.710833549499512"
"74","645","645","645","32.71141815185547","32.71141815185547","32.71141815185547","645","645","645","56.22541809082031","56.22541809082031","56.22541809082031","645","645","645","6.809500217437744","6.809500217437744","6.809500217437744","645","645","645","22.345582962036133","22.345582962036133","22.345582962036133","645","645","645","14.773916244506836","14.773916244506836","14.773916244506836"
"75","654","654","654","35.18391799926758","35.18391799926758","35.18391799926758","654","654","654","55.2135009765625","55.2135009765625","55.2135009765625","654","654","654","6.644499778747559","6.644499778747559","6.644499778747559","654","654","654","21.058916091918945","21.058916091918945","21.058916091918945","654","654","654","14.800000190734863","14.800000190734863","14.800000190734863"
"76","662","662","662","37.955833435058594","37.955833435058594","37.955833435058594","662","662","662","60.25508499145508","60.25508499145508","60.25508499145508","662","662","662","6.555500030517578","6.555500030517578","6.555500030517578","662","662","662","21.52775001525879","21.52775001525879","21.52775001525879","662","662","662","14.639249801635742","14.639249801635742","14.639249801635742"
"77","671","671","671","38.08891677856445","38.08891677856445","38.08891677856445","671","671","671","65.9600830078125","65.9600830078125","65.9600830078125","671","671","671","6.747166633605957","6.747166633605957","6.747166633605957","671","671","671","20.07550048828125","20.07550048828125","20.07550048828125","671","671","671","14.79616641998291","14.79616641998291","14.79616641998291"
"78","679","679","679","37.62391662597656","37.62391662597656","37.62391662597656","679","679","679","63.63774871826172","63.63774871826172","63.63774871826172","679","679","679","6.73408317565918","6.73408317565918","6.73408317565918","679","679","679","21.504833221435547","21.504833221435547","21.504833221435547","679","679","679","14.94950008392334","14.94950008392334","14.94950008392334"
"79","688","688","688","32.72458267211914","32.72458267211914","32.72458267211914","688","688","688","53.417999267578125","53.417999267578125","53.417999267578125","688","688","688","6.7798333168029785","6.7798333168029785","6.7798333168029785","688","688","688","21.131500244140625","21.131500244140625","21.131500244140625","688","688","688","14.987500190734863","14.987500190734863","14.987500190734863"
"80","697","697","697","36.908416748046875","36.908416748046875","36.908416748046875","697","697","697","50.468833923339844","50.468833923339844","50.468833923339844","697","697","697","6.712250232696533","6.712250232696533","6.712250232696533","697","697","697","20.936500549316406","20.936500549316406","20.936500549316406","697","697","697","15.16825008392334","15.16825008392334","15.16825008392334"
"81","706","706","706","38.04541778564453","38.04541778564453","38.04541778564453","706","706","706","59.29624938964844","59.29624938964844","59.29624938964844","706","706","706","6.549666881561279","6.549666881561279","6.549666881561279","706","706","706","19.542917251586914","19.542917251586914","19.542917251586914","706","706","706","15.118833541870117","15.118833541870117","15.118833541870117"
"82","714","714","714","35.90549850463867","35.90549850463867","35.90549850463867","714","714","714","55.1071662902832","55.1071662902832","55.1071662902832","714","714","714","6.745250225067139","6.745250225067139","6.745250225067139","714","714","714","18.785667419433594","18.785667419433594","18.785667419433594","714","714","714","15.071833610534668","15.071833610534668","15.071833610534668"
"83","723","723","723","35.98725128173828","35.98725128173828","35.98725128173828","723","723","723","59.62908172607422","59.62908172607422","59.62908172607422","723","723","723","6.571000099182129","6.571000099182129","6.571000099182129","723","723","723","20.94700050354004","20.94700050354004","20.94700050354004","723","723","723","15.246582984924316","15.246582984924316","15.246582984924316"
"84","731","731","731","38.166751861572266","38.166751861572266","38.166751861572266","731","731","731","59.55608367919922","59.55608367919922","59.55608367919922","731","731","731","6.68316650390625","6.68316650390625","6.68316650390625","731","731","731","21.160417556762695","21.160417556762695","21.160417556762695","731","731","731","14.905583381652832","14.905583381652832","14.905583381652832"
"85","740","740","740","38.71916580200195","38.71916580200195","38.71916580200195","740","740","740","62.07658386230469","62.07658386230469","62.07658386230469","740","740","740","6.526833534240723","6.526833534240723","6.526833534240723","740","740","740","19.484750747680664","19.484750747680664","19.484750747680664","740","740","740","15.29675006866455","15.29675006866455","15.29675006866455"
"86","748","748","748","36.4322509765625","36.4322509765625","36.4322509765625","748","748","748","60.08016586303711","60.08016586303711","60.08016586303711","748","748","748","6.841833114624023","6.841833114624023","6.841833114624023","748","748","748","19.20924949645996","19.20924949645996","19.20924949645996","748","748","748","15.439499855041504","15.439499855041504","15.439499855041504"
"87","757","757","757","37.97358322143555","37.97358322143555","37.97358322143555","757","757","757","76.57849884033203","76.57849884033203","76.57849884033203","757","757","757","6.852916717529297","6.852916717529297","6.852916717529297","757","757","757","18.68899917602539","18.68899917602539","18.68899917602539","757","757","757","15.317583084106445","15.317583084106445","15.317583084106445"
"88","765","765","765","39.549583435058594","39.549583435058594","39.549583435058594","765","765","765","65.3010025024414","65.3010025024414","65.3010025024414","765","765","765","6.850249767303467","6.850249767303467","6.850249767303467","765","765","765","19.097749710083008","19.097749710083008","19.097749710083008","765","765","765","15.008333206176758","15.008333206176758","15.008333206176758"
