"epoch","9 - _step","9 - _step__MIN","9 - _step__MAX","9 - val_len","9 - val_len__MIN","9 - val_len__MAX","17 - _step","17 - _step__MIN","17 - _step__MAX","17 - val_len","17 - val_len__MIN","17 - val_len__MAX","33 - _step","33 - _step__MIN","33 - _step__MAX","33 - val_len","33 - val_len__MIN","33 - val_len__MAX","65 - _step","65 - _step__MIN","65 - _step__MAX","65 - val_len","65 - val_len__MIN","65 - val_len__MAX","129 - _step","129 - _step__MIN","129 - _step__MAX","129 - val_len","129 - val_len__MIN","129 - val_len__MAX"
"14","129","129","129","7.217166900634766","7.217166900634766","7.217166900634766","129","129","129","5.82574987411499","5.82574987411499","5.82574987411499","129","129","129","9.999166488647461","9.999166488647461","9.999166488647461","129","129","129","9.996417045593262","9.996417045593262","9.996417045593262","129","129","129","5.4389166831970215","5.4389166831970215","5.4389166831970215"
"15","138","138","138","7.176916599273682","7.176916599273682","7.176916599273682","138","138","138","6.363333225250244","6.363333225250244","6.363333225250244","138","138","138","9.999166488647461","9.999166488647461","9.999166488647461","138","138","138","10","10","10","138","138","138","3.9568333625793457","3.9568333625793457","3.9568333625793457"
"16","146","146","146","7.1623334884643555","7.1623334884643555","7.1623334884643555","146","146","146","6.401000022888184","6.401000022888184","6.401000022888184","146","146","146","9.999166488647461","9.999166488647461","9.999166488647461","146","146","146","9.997333526611328","9.997333526611328","9.997333526611328","146","146","146","3.854083299636841","3.854083299636841","3.854083299636841"
"17","155","155","155","6.891166687011719","6.891166687011719","6.891166687011719","155","155","155","6.5338335037231445","6.5338335037231445","6.5338335037231445","155","155","155","9.999166488647461","9.999166488647461","9.999166488647461","155","155","155","9.999833106994629","9.999833106994629","9.999833106994629","155","155","155","4.307166576385498","4.307166576385498","4.307166576385498"
"18","163","163","163","6.961750030517578","6.961750030517578","6.961750030517578","163","163","163","6.987666606903076","6.987666606903076","6.987666606903076","163","163","163","9.999166488647461","9.999166488647461","9.999166488647461","163","163","163","9.997750282287598","9.997750282287598","9.997750282287598","163","163","163","4.733583450317383","4.733583450317383","4.733583450317383"
"19","172","172","172","7.67549991607666","7.67549991607666","7.67549991607666","172","172","172","7.117916584014893","7.117916584014893","7.117916584014893","172","172","172","10","10","10","172","172","172","9.998749732971191","9.998749732971191","9.998749732971191","172","172","172","6.145666599273682","6.145666599273682","6.145666599273682"
"20","181","181","181","7.749666690826416","7.749666690826416","7.749666690826416","181","181","181","7.079416751861572","7.079416751861572","7.079416751861572","181","181","181","9.999166488647461","9.999166488647461","9.999166488647461","181","181","181","9.994500160217285","9.994500160217285","9.994500160217285","181","181","181","6.365416526794434","6.365416526794434","6.365416526794434"
"21","190","190","190","7.745999813079834","7.745999813079834","7.745999813079834","190","190","190","7.129666805267334","7.129666805267334","7.129666805267334","190","190","190","9.992500305175781","9.992500305175781","9.992500305175781","190","190","190","9.99958324432373","9.99958324432373","9.99958324432373","190","190","190","5.675250053405762","5.675250053405762","5.675250053405762"
"22","198","198","198","8.287083625793457","8.287083625793457","8.287083625793457","198","198","198","7.44950008392334","7.44950008392334","7.44950008392334","198","198","198","9.993332862854004","9.993332862854004","9.993332862854004","198","198","198","10","10","10","198","198","198","6.377166748046875","6.377166748046875","6.377166748046875"
"23","207","207","207","7.95074987411499","7.95074987411499","7.95074987411499","207","207","207","7.806833267211914","7.806833267211914","7.806833267211914","207","207","207","9.984167098999023","9.984167098999023","9.984167098999023","207","207","207","10","10","10","207","207","207","6.644000053405762","6.644000053405762","6.644000053405762"
"24","215","215","215","8.254416465759277","8.254416465759277","8.254416465759277","215","215","215","7.8767499923706055","7.8767499923706055","7.8767499923706055","215","215","215","9.988333702087402","9.988333702087402","9.988333702087402","215","215","215","10","10","10","215","215","215","6.184083461761475","6.184083461761475","6.184083461761475"
"25","224","224","224","8.370083808898926","8.370083808898926","8.370083808898926","224","224","224","7.743000030517578","7.743000030517578","7.743000030517578","224","224","224","9.994166374206543","9.994166374206543","9.994166374206543","224","224","224","10","10","10","224","224","224","5.843083381652832","5.843083381652832","5.843083381652832"
"26","232","232","232","8.472167015075684","8.472167015075684","8.472167015075684","232","232","232","7.91658353805542","7.91658353805542","7.91658353805542","232","232","232","9.9975004196167","9.9975004196167","9.9975004196167","232","232","232","10","10","10","232","232","232","5.430416584014893","5.430416584014893","5.430416584014893"
"27","241","241","241","8.381999969482422","8.381999969482422","8.381999969482422","241","241","241","7.775333404541016","7.775333404541016","7.775333404541016","241","241","241","9.99666690826416","9.99666690826416","9.99666690826416","241","241","241","10","10","10","241","241","241","6.04716682434082","6.04716682434082","6.04716682434082"
"28","249","249","249","8.56291675567627","8.56291675567627","8.56291675567627","249","249","249","8.15191650390625","8.15191650390625","8.15191650390625","249","249","249","10","10","10","249","249","249","10","10","10","249","249","249","6.93874979019165","6.93874979019165","6.93874979019165"
"29","258","258","258","8.673083305358887","8.673083305358887","8.673083305358887","258","258","258","8.27316665649414","8.27316665649414","8.27316665649414","258","258","258","10","10","10","258","258","258","10","10","10","258","258","258","6.077250003814697","6.077250003814697","6.077250003814697"
"30","267","267","267","8.813166618347168","8.813166618347168","8.813166618347168","267","267","267","8.538749694824219","8.538749694824219","8.538749694824219","267","267","267","10","10","10","267","267","267","10","10","10","267","267","267","6.338749885559082","6.338749885559082","6.338749885559082"
"31","276","276","276","8.83216667175293","8.83216667175293","8.83216667175293","276","276","276","8.570083618164062","8.570083618164062","8.570083618164062","276","276","276","10","10","10","276","276","276","10","10","10","276","276","276","6.934666633605957","6.934666633605957","6.934666633605957"
"32","284","284","284","8.512083053588867","8.512083053588867","8.512083053588867","284","284","284","9.111166954040527","9.111166954040527","9.111166954040527","284","284","284","10","10","10","284","284","284","10","10","10","284","284","284","6.839916706085205","6.839916706085205","6.839916706085205"
"33","293","293","293","8.868916511535645","8.868916511535645","8.868916511535645","293","293","293","9.035666465759277","9.035666465759277","9.035666465759277","293","293","293","10","10","10","293","293","293","10","10","10","293","293","293","6.7442498207092285","6.7442498207092285","6.7442498207092285"
"34","301","301","301","8.890417098999023","8.890417098999023","8.890417098999023","301","301","301","9.097000122070312","9.097000122070312","9.097000122070312","301","301","301","10","10","10","301","301","301","10","10","10","301","301","301","7.16391658782959","7.16391658782959","7.16391658782959"
"35","310","310","310","8.838000297546387","8.838000297546387","8.838000297546387","310","310","310","9.235750198364258","9.235750198364258","9.235750198364258","310","310","310","10","10","10","310","310","310","10","10","10","310","310","310","6.890749931335449","6.890749931335449","6.890749931335449"
"36","318","318","318","8.802332878112793","8.802332878112793","8.802332878112793","318","318","318","9.276166915893555","9.276166915893555","9.276166915893555","318","318","318","10","10","10","318","318","318","10","10","10","318","318","318","7.325666904449463","7.325666904449463","7.325666904449463"
"37","327","327","327","7.953666687011719","7.953666687011719","7.953666687011719","327","327","327","9.35433292388916","9.35433292388916","9.35433292388916","327","327","327","10","10","10","327","327","327","10","10","10","327","327","327","7.227833271026611","7.227833271026611","7.227833271026611"
"38","335","335","335","8.840499877929688","8.840499877929688","8.840499877929688","335","335","335","9.23366641998291","9.23366641998291","9.23366641998291","335","335","335","10","10","10","335","335","335","10","10","10","335","335","335","7.68316650390625","7.68316650390625","7.68316650390625"
"39","344","344","344","9.191333770751953","9.191333770751953","9.191333770751953","344","344","344","9.380416870117188","9.380416870117188","9.380416870117188","344","344","344","10","10","10","344","344","344","4.481416702270508","4.481416702270508","4.481416702270508","344","344","344","7.6897501945495605","7.6897501945495605","7.6897501945495605"
"40","353","353","353","8.991416931152344","8.991416931152344","8.991416931152344","353","353","353","9.30525016784668","9.30525016784668","9.30525016784668","353","353","353","10","10","10","353","353","353","6.248416900634766","6.248416900634766","6.248416900634766","353","353","353","7.731249809265137","7.731249809265137","7.731249809265137"
"41","362","362","362","8.866416931152344","8.866416931152344","8.866416931152344","362","362","362","9.515417098999023","9.515417098999023","9.515417098999023","362","362","362","10","10","10","362","362","362","7.2457499504089355","7.2457499504089355","7.2457499504089355","362","362","362","7.801666736602783","7.801666736602783","7.801666736602783"
"42","370","370","370","9.015166282653809","9.015166282653809","9.015166282653809","370","370","370","9.499333381652832","9.499333381652832","9.499333381652832","370","370","370","10","10","10","370","370","370","7.981083393096924","7.981083393096924","7.981083393096924","370","370","370","8.07925033569336","8.07925033569336","8.07925033569336"
"43","379","379","379","8.987667083740234","8.987667083740234","8.987667083740234","379","379","379","9.493083000183105","9.493083000183105","9.493083000183105","379","379","379","10","10","10","379","379","379","8.298583030700684","8.298583030700684","8.298583030700684","379","379","379","8.2586669921875","8.2586669921875","8.2586669921875"
"44","387","387","387","8.844499588012695","8.844499588012695","8.844499588012695","387","387","387","9.492666244506836","9.492666244506836","9.492666244506836","387","387","387","10","10","10","387","387","387","8.545499801635742","8.545499801635742","8.545499801635742","387","387","387","8.365416526794434","8.365416526794434","8.365416526794434"
"45","396","396","396","8.762249946594238","8.762249946594238","8.762249946594238","396","396","396","9.571416854858398","9.571416854858398","9.571416854858398","396","396","396","10","10","10","396","396","396","8.82741641998291","8.82741641998291","8.82741641998291","396","396","396","9.618583679199219","9.618583679199219","9.618583679199219"
"46","404","404","404","9.037666320800781","9.037666320800781","9.037666320800781","404","404","404","9.70425033569336","9.70425033569336","9.70425033569336","404","404","404","10","10","10","404","404","404","8.852167129516602","8.852167129516602","8.852167129516602","404","404","404","8.5625","8.5625","8.5625"
"47","413","413","413","8.944250106811523","8.944250106811523","8.944250106811523","413","413","413","9.699417114257812","9.699417114257812","9.699417114257812","413","413","413","10","10","10","413","413","413","9.330750465393066","9.330750465393066","9.330750465393066","413","413","413","8.523833274841309","8.523833274841309","8.523833274841309"
"48","421","421","421","8.950750350952148","8.950750350952148","8.950750350952148","421","421","421","9.72641658782959","9.72641658782959","9.72641658782959","421","421","421","10","10","10","421","421","421","9.436416625976562","9.436416625976562","9.436416625976562","421","421","421","8.722749710083008","8.722749710083008","8.722749710083008"
"49","430","430","430","8.9486665725708","8.9486665725708","8.9486665725708","430","430","430","9.706583023071289","9.706583023071289","9.706583023071289","430","430","430","10","10","10","430","430","430","9.511249542236328","9.511249542236328","9.511249542236328","430","430","430","8.502249717712402","8.502249717712402","8.502249717712402"
"50","439","439","439","8.757916450500488","8.757916450500488","8.757916450500488","439","439","439","9.792583465576172","9.792583465576172","9.792583465576172","439","439","439","10","10","10","439","439","439","9.506250381469727","9.506250381469727","9.506250381469727","439","439","439","8.998416900634766","8.998416900634766","8.998416900634766"
"51","448","448","448","8.77833366394043","8.77833366394043","8.77833366394043","448","448","448","9.740666389465332","9.740666389465332","9.740666389465332","448","448","448","10","10","10","448","448","448","9.557666778564453","9.557666778564453","9.557666778564453","448","448","448","8.588582992553711","8.588582992553711","8.588582992553711"
"52","456","456","456","8.78166675567627","8.78166675567627","8.78166675567627","456","456","456","9.775083541870117","9.775083541870117","9.775083541870117","456","456","456","10","10","10","456","456","456","9.505167007446289","9.505167007446289","9.505167007446289","456","456","456","8.853917121887207","8.853917121887207","8.853917121887207"
"53","465","465","465","9.218832969665527","9.218832969665527","9.218832969665527","465","465","465","9.836333274841309","9.836333274841309","9.836333274841309","465","465","465","9.999917030334473","9.999917030334473","9.999917030334473","465","465","465","9.598666191101074","9.598666191101074","9.598666191101074","465","465","465","8.685583114624023","8.685583114624023","8.685583114624023"
"54","473","473","473","9.015250205993652","9.015250205993652","9.015250205993652","473","473","473","9.807332992553711","9.807332992553711","9.807332992553711","473","473","473","9.999917030334473","9.999917030334473","9.999917030334473","473","473","473","9.664833068847656","9.664833068847656","9.664833068847656","473","473","473","8.7698335647583","8.7698335647583","8.7698335647583"
"55","482","482","482","8.925167083740234","8.925167083740234","8.925167083740234","482","482","482","9.852333068847656","9.852333068847656","9.852333068847656","482","482","482","9.999750137329102","9.999750137329102","9.999750137329102","482","482","482","9.721750259399414","9.721750259399414","9.721750259399414","482","482","482","8.988916397094727","8.988916397094727","8.988916397094727"
"56","490","490","490","8.946833610534668","8.946833610534668","8.946833610534668","490","490","490","9.763416290283203","9.763416290283203","9.763416290283203","490","490","490","9.999666213989258","9.999666213989258","9.999666213989258","490","490","490","9.743833541870117","9.743833541870117","9.743833541870117","490","490","490","9.086833000183105","9.086833000183105","9.086833000183105"
"57","499","499","499","8.89091682434082","8.89091682434082","8.89091682434082","499","499","499","9.818833351135254","9.818833351135254","9.818833351135254","499","499","499","9.998749732971191","9.998749732971191","9.998749732971191","499","499","499","9.656083106994629","9.656083106994629","9.656083106994629","499","499","499","9.017666816711426","9.017666816711426","9.017666816711426"
"58","507","507","507","8.792333602905273","8.792333602905273","8.792333602905273","507","507","507","9.867083549499512","9.867083549499512","9.867083549499512","507","507","507","9.999917030334473","9.999917030334473","9.999917030334473","507","507","507","9.800999641418457","9.800999641418457","9.800999641418457","507","507","507","9.159832954406738","9.159832954406738","9.159832954406738"
"59","516","516","516","8.902416229248047","8.902416229248047","8.902416229248047","516","516","516","9.861499786376953","9.861499786376953","9.861499786376953","516","516","516","9.996833801269531","9.996833801269531","9.996833801269531","516","516","516","9.824749946594238","9.824749946594238","9.824749946594238","516","516","516","8.929082870483398","8.929082870483398","8.929082870483398"
"60","525","525","525","9.10083293914795","9.10083293914795","9.10083293914795","525","525","525","9.782083511352539","9.782083511352539","9.782083511352539","525","525","525","9.993416786193848","9.993416786193848","9.993416786193848","525","525","525","9.749083518981934","9.749083518981934","9.749083518981934","525","525","525","9.25333309173584","9.25333309173584","9.25333309173584"
"61","534","534","534","8.96833324432373","8.96833324432373","8.96833324432373","534","534","534","9.774499893188477","9.774499893188477","9.774499893188477","534","534","534","9.980083465576172","9.980083465576172","9.980083465576172","534","534","534","9.915749549865723","9.915749549865723","9.915749549865723","534","534","534","9.22249984741211","9.22249984741211","9.22249984741211"
"62","542","542","542","9.09666633605957","9.09666633605957","9.09666633605957","542","542","542","9.810999870300293","9.810999870300293","9.810999870300293","542","542","542","9.986833572387695","9.986833572387695","9.986833572387695","542","542","542","9.91100025177002","9.91100025177002","9.91100025177002","542","542","542","9.422333717346191","9.422333717346191","9.422333717346191"
"63","551","551","551","9.043582916259766","9.043582916259766","9.043582916259766","551","551","551","9.730583190917969","9.730583190917969","9.730583190917969","551","551","551","9.97249984741211","9.97249984741211","9.97249984741211","551","551","551","9.895500183105469","9.895500183105469","9.895500183105469","551","551","551","9.246999740600586","9.246999740600586","9.246999740600586"
"64","559","559","559","8.807833671569824","8.807833671569824","8.807833671569824","559","559","559","9.829500198364258","9.829500198364258","9.829500198364258","559","559","559","9.984999656677246","9.984999656677246","9.984999656677246","559","559","559","9.876832962036133","9.876832962036133","9.876832962036133","559","559","559","9.32075023651123","9.32075023651123","9.32075023651123"
"65","568","568","568","8.88991641998291","8.88991641998291","8.88991641998291","568","568","568","9.888916969299316","9.888916969299316","9.888916969299316","568","568","568","9.952583312988281","9.952583312988281","9.952583312988281","568","568","568","9.87833309173584","9.87833309173584","9.87833309173584","568","568","568","9.001250267028809","9.001250267028809","9.001250267028809"
"66","576","576","576","8.993583679199219","8.993583679199219","8.993583679199219","576","576","576","9.839583396911621","9.839583396911621","9.839583396911621","576","576","576","9.974916458129883","9.974916458129883","9.974916458129883","576","576","576","9.917166709899902","9.917166709899902","9.917166709899902","576","576","576","9.497166633605957","9.497166633605957","9.497166633605957"
"67","585","585","585","8.912917137145996","8.912917137145996","8.912917137145996","585","585","585","9.845166206359863","9.845166206359863","9.845166206359863","585","585","585","9.948749542236328","9.948749542236328","9.948749542236328","585","585","585","9.940250396728516","9.940250396728516","9.940250396728516","585","585","585","9.454833030700684","9.454833030700684","9.454833030700684"
"68","593","593","593","8.960249900817871","8.960249900817871","8.960249900817871","593","593","593","9.871000289916992","9.871000289916992","9.871000289916992","593","593","593","9.911333084106445","9.911333084106445","9.911333084106445","593","593","593","9.923916816711426","9.923916816711426","9.923916816711426","593","593","593","9.355916976928711","9.355916976928711","9.355916976928711"
"69","602","602","602","9.064583778381348","9.064583778381348","9.064583778381348","602","602","602","9.871749877929688","9.871749877929688","9.871749877929688","602","602","602","9.861749649047852","9.861749649047852","9.861749649047852","602","602","602","9.889749526977539","9.889749526977539","9.889749526977539","602","602","602","9.250249862670898","9.250249862670898","9.250249862670898"
"70","611","611","611","8.973917007446289","8.973917007446289","8.973917007446289","611","611","611","9.857916831970215","9.857916831970215","9.857916831970215","611","611","611","9.853249549865723","9.853249549865723","9.853249549865723","611","611","611","9.808250427246094","9.808250427246094","9.808250427246094","611","611","611","9.259833335876465","9.259833335876465","9.259833335876465"
"71","620","620","620","8.911083221435547","8.911083221435547","8.911083221435547","620","620","620","9.847583770751953","9.847583770751953","9.847583770751953","620","620","620","9.869250297546387","9.869250297546387","9.869250297546387","620","620","620","9.910666465759277","9.910666465759277","9.910666465759277","620","620","620","9.330082893371582","9.330082893371582","9.330082893371582"
"72","628","628","628","8.999750137329102","8.999750137329102","8.999750137329102","628","628","628","9.776333808898926","9.776333808898926","9.776333808898926","628","628","628","9.857166290283203","9.857166290283203","9.857166290283203","628","628","628","9.925167083740234","9.925167083740234","9.925167083740234","628","628","628","9.314916610717773","9.314916610717773","9.314916610717773"
"73","637","637","637","9.113166809082031","9.113166809082031","9.113166809082031","637","637","637","9.856082916259766","9.856082916259766","9.856082916259766","637","637","637","9.739583015441895","9.739583015441895","9.739583015441895","637","637","637","9.947999954223633","9.947999954223633","9.947999954223633","637","637","637","9.329916954040527","9.329916954040527","9.329916954040527"
"74","645","645","645","8.979083061218262","8.979083061218262","8.979083061218262","645","645","645","9.85200023651123","9.85200023651123","9.85200023651123","645","645","645","9.822333335876465","9.822333335876465","9.822333335876465","645","645","645","9.880167007446289","9.880167007446289","9.880167007446289","645","645","645","9.365249633789062","9.365249633789062","9.365249633789062"
"75","654","654","654","9.083499908447266","9.083499908447266","9.083499908447266","654","654","654","9.864999771118164","9.864999771118164","9.864999771118164","654","654","654","9.8638334274292","9.8638334274292","9.8638334274292","654","654","654","9.956500053405762","9.956500053405762","9.956500053405762","654","654","654","9.419917106628418","9.419917106628418","9.419917106628418"
"76","662","662","662","8.990583419799805","8.990583419799805","8.990583419799805","662","662","662","9.775166511535645","9.775166511535645","9.775166511535645","662","662","662","9.830166816711426","9.830166816711426","9.830166816711426","662","662","662","9.965250015258789","9.965250015258789","9.965250015258789","662","662","662","9.409000396728516","9.409000396728516","9.409000396728516"
"77","671","671","671","8.98550033569336","8.98550033569336","8.98550033569336","671","671","671","9.775583267211914","9.775583267211914","9.775583267211914","671","671","671","9.795999526977539","9.795999526977539","9.795999526977539","671","671","671","9.909000396728516","9.909000396728516","9.909000396728516","671","671","671","9.325166702270508","9.325166702270508","9.325166702270508"
"78","679","679","679","9.129500389099121","9.129500389099121","9.129500389099121","679","679","679","9.71774959564209","9.71774959564209","9.71774959564209","679","679","679","9.807833671569824","9.807833671569824","9.807833671569824","679","679","679","9.912750244140625","9.912750244140625","9.912750244140625","679","679","679","9.33941650390625","9.33941650390625","9.33941650390625"
"79","688","688","688","8.979583740234375","8.979583740234375","8.979583740234375","688","688","688","9.820833206176758","9.820833206176758","9.820833206176758","688","688","688","9.839666366577148","9.839666366577148","9.839666366577148","688","688","688","9.956832885742188","9.956832885742188","9.956832885742188","688","688","688","9.322250366210938","9.322250366210938","9.322250366210938"
"80","697","697","697","8.947750091552734","8.947750091552734","8.947750091552734","697","697","697","9.753083229064941","9.753083229064941","9.753083229064941","697","697","697","9.904582977294922","9.904582977294922","9.904582977294922","697","697","697","9.949666976928711","9.949666976928711","9.949666976928711","697","697","697","9.161083221435547","9.161083221435547","9.161083221435547"
"81","706","706","706","8.880749702453613","8.880749702453613","8.880749702453613","706","706","706","9.690250396728516","9.690250396728516","9.690250396728516","706","706","706","9.80150032043457","9.80150032043457","9.80150032043457","706","706","706","9.963749885559082","9.963749885559082","9.963749885559082","706","706","706","9.435583114624023","9.435583114624023","9.435583114624023"
"82","714","714","714","8.886500358581543","8.886500358581543","8.886500358581543","714","714","714","9.771082878112793","9.771082878112793","9.771082878112793","714","714","714","9.754166603088379","9.754166603088379","9.754166603088379","714","714","714","9.94516658782959","9.94516658782959","9.94516658782959","714","714","714","9.397250175476074","9.397250175476074","9.397250175476074"
"83","723","723","723","8.841500282287598","8.841500282287598","8.841500282287598","723","723","723","9.822583198547363","9.822583198547363","9.822583198547363","723","723","723","9.769332885742188","9.769332885742188","9.769332885742188","723","723","723","9.886249542236328","9.886249542236328","9.886249542236328","723","723","723","9.41433334350586","9.41433334350586","9.41433334350586"
"84","731","731","731","9.079833030700684","9.079833030700684","9.079833030700684","731","731","731","9.714750289916992","9.714750289916992","9.714750289916992","731","731","731","9.805916786193848","9.805916786193848","9.805916786193848","731","731","731","9.885416984558105","9.885416984558105","9.885416984558105","731","731","731","9.211833000183105","9.211833000183105","9.211833000183105"
"85","740","740","740","9.055749893188477","9.055749893188477","9.055749893188477","740","740","740","9.749666213989258","9.749666213989258","9.749666213989258","740","740","740","9.753666877746582","9.753666877746582","9.753666877746582","740","740","740","9.956000328063965","9.956000328063965","9.956000328063965","740","740","740","9.255416870117188","9.255416870117188","9.255416870117188"
"86","748","748","748","9.149999618530273","9.149999618530273","9.149999618530273","748","748","748","9.68316650390625","9.68316650390625","9.68316650390625","748","748","748","9.75","9.75","9.75","748","748","748","9.846583366394043","9.846583366394043","9.846583366394043","748","748","748","9.426166534423828","9.426166534423828","9.426166534423828"
"87","757","757","757","8.90916633605957","8.90916633605957","8.90916633605957","757","757","757","9.673166275024414","9.673166275024414","9.673166275024414","757","757","757","9.61816692352295","9.61816692352295","9.61816692352295","757","757","757","9.956916809082031","9.956916809082031","9.956916809082031","757","757","757","9.290416717529297","9.290416717529297","9.290416717529297"
"88","765","765","765","9.000082969665527","9.000082969665527","9.000082969665527","765","765","765","9.696249961853027","9.696249961853027","9.696249961853027","765","765","765","9.684333801269531","9.684333801269531","9.684333801269531","765","765","765","9.924333572387695","9.924333572387695","9.924333572387695","765","765","765","9.494250297546387","9.494250297546387","9.494250297546387"
"89","774","774","774","9.067999839782715","9.067999839782715","9.067999839782715","774","774","774","9.760749816894531","9.760749816894531","9.760749816894531","774","774","774","9.657166481018066","9.657166481018066","9.657166481018066","774","774","774","9.919166564941406","9.919166564941406","9.919166564941406","774","774","774","9.442333221435547","9.442333221435547","9.442333221435547"
"90","783","783","783","8.79800033569336","8.79800033569336","8.79800033569336","783","783","783","9.6649169921875","9.6649169921875","9.6649169921875","783","783","783","9.607583045959473","9.607583045959473","9.607583045959473","783","783","783","9.928999900817871","9.928999900817871","9.928999900817871","783","783","783","9.381250381469727","9.381250381469727","9.381250381469727"
"91","792","792","792","9.196916580200195","9.196916580200195","9.196916580200195","792","792","792","9.779250144958496","9.779250144958496","9.779250144958496","792","792","792","9.6138334274292","9.6138334274292","9.6138334274292","792","792","792","9.947750091552734","9.947750091552734","9.947750091552734","792","792","792","9.427749633789062","9.427749633789062","9.427749633789062"
"92","800","800","800","8.805749893188477","8.805749893188477","8.805749893188477","800","800","800","9.598583221435547","9.598583221435547","9.598583221435547","800","800","800","9.555500030517578","9.555500030517578","9.555500030517578","800","800","800","9.905500411987305","9.905500411987305","9.905500411987305","800","800","800","9.263083457946777","9.263083457946777","9.263083457946777"
"93","809","809","809","9.1225004196167","9.1225004196167","9.1225004196167","809","809","809","9.830666542053223","9.830666542053223","9.830666542053223","809","809","809","9.656416893005371","9.656416893005371","9.656416893005371","809","809","809","9.912249565124512","9.912249565124512","9.912249565124512","809","809","809","9.406332969665527","9.406332969665527","9.406332969665527"
"94","817","817","817","8.988916397094727","8.988916397094727","8.988916397094727","817","817","817","9.744916915893555","9.744916915893555","9.744916915893555","817","817","817","9.572333335876465","9.572333335876465","9.572333335876465","817","817","817","9.800749778747559","9.800749778747559","9.800749778747559","817","817","817","9.446000099182129","9.446000099182129","9.446000099182129"
